"Turkey.Leftpalm" "Purchade.Leftpalm" "Caryll.Leftpalm" "Cochituate.Leftpalm" "Loveland.Leftpalm" "Malfa.Leftpalm" "Brae.Leftpalm" "Coachmen.Leftpalm" "Lippokd.Leftpalm" "Sylvanus.Leftpalm" "Menekish.Leftpalm" "Hager.Leftpalm" "Azalea.Leftpalm" "Padanaram.Leftpalm" "Ronald.Leftpalm" "Noel.Leftpalm" "Fermanagh.Leftpalm" "Merchants.Leftpalm" "Flagstone.Leftpalm" "Digregorio.Leftpalm" "Winifreds.Leftpalm" "Dias.Leftpalm" "Goddu.Leftpalm" "Mariposa.Leftpalm" "Tewmac.Leftpalm" "Barefoot.Leftpalm" "Balcom.Leftpalm" "Lonergan.Leftpalm" "Nobscot.Leftpalm" "Innkeeper.Leftpalm" "Quinapoxet.Leftpalm" "Zambom.Leftpalm" "Lassell.Leftpalm" "Nyack.Leftpalm" "Trimmer.Leftpalm" "Sandale.Leftpalm" "Maryjane.Leftpalm" "Eisenhower.Leftpalm" "Stannes.Leftpalm" "Gigi.Leftpalm" "Erlandson.Leftpalm" "Cowan.Leftpalm"
"s__balearica" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.75488750216347
"s__barengoltzii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__bifida" 0 3.8073549220576 0 0 0 0 0 0 1 0 0 2 0 0 2.58496250072116 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1
"s__bifidum" 0 0 0 0 0 0 2 0 0 0 0 2 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__biforme" 0 0 0 0 0 3.16992500144231 0 0 0 2.32192809488736 3.32192809488736 4.75488750216347 2 3.4594316186373 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116
"s__biprosthecium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.24792751344359 0 0 0 0 0 0 2.58496250072116 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"s__bispora" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__boronitolerans" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__bowmanii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__brevis" 0 0 0 0 0 0 0 0 3.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__bromii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__bryantii" 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__bryophila" 0 2.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__C21_c20" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__caccae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__caeni" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__campisalis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__canimorsus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__cateniformis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__catus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__cecorum" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__celatum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__celer" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"s__cellulosum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__chitinolyticus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__chondroitinus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__cinerea" 2.32192809488736 2 1.58496250072116 2 2 1 2 4.4594316186373 5.08746284125034 2 2 3.58496250072116 1.58496250072116 0 4.8073549220576 3.70043971814109 1 1.58496250072116 1 1.58496250072116 1.58496250072116 7.4093909361377 1 3 0 6.3037807481771 0 2.58496250072116 1.58496250072116 3 4.64385618977472 1 3.16992500144231 1 1 1.58496250072116 2.32192809488736 0 3.16992500144231 3 1 4.52356195605701
"s__citronellolis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0
"s__clausii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__coagulans" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__coleohominis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__copri" 5.95419631038687 4.95419631038687 0 4.70043971814109 0 0 3.58496250072116 1 2.32192809488736 1 4.32192809488736 6.4594316186373 8.35314682549808 6.08746284125034 12.2167458581953 0 1.58496250072116 1.58496250072116 5.35755200461808 3.32192809488736 3.70043971814109 4.90689059560852 1.58496250072116 2.8073549220576 1.58496250072116 8.43462822763673 2.58496250072116 1 5.7279204545632 0 5.24792751344359 3.90689059560852 5.08746284125034 0 4.24792751344359 3.16992500144231 3.4594316186373 1 3.58496250072116 2.32192809488736 2.32192809488736 2.8073549220576
"s__coprophilus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__cosmopolitanus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"s__cowanii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__cryaerophilus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__cryoconitis" 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 2.32192809488736 0 0 0 0 2.32192809488736 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__curvus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__D168" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__delafieldii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__delbrueckii" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"s__dentocariosa" 2.8073549220576 2 4 0 3 5.4262647547021 4.39231742277876 6.71424551766612 7.36632221424582 7.90086680798075 4.16992500144231 8.67595703294175 5.4262647547021 1 8.4262647547021 6.32192809488736 1.58496250072116 1 0 4.52356195605701 5.4594316186373 11.3314768218596 5.75488750216347 1 0 3.58496250072116 3.4594316186373 0 5.24792751344359 6.90689059560852 6.28540221886225 6.68650052718322 7.05528243550119 5.28540221886225 4.58496250072116 4 2.8073549220576 3.70043971814109 6.58496250072116 5.90689059560852 0 8.02236781302845
"s__depolymerans" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__diminuta" 0 0 0 2 0 0 0 2 0 0 0 0 1.58496250072116 0 0 2 1 0 0 0 4.08746284125034 0 3.4594316186373 0 0 4.16992500144231 0 0 1.58496250072116 0 2.32192809488736 0 0 0 0 0 0 2.32192809488736 0 0 1 2.58496250072116
"s__diospyrosa" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__dispar" 3.58496250072116 5.12928301694497 4.75488750216347 5.75488750216347 5.8073549220576 3.4594316186373 5.12928301694497 5.4594316186373 8.13955135239879 7.93663793900257 7.04439411935845 9.04165915163721 7.23840473932508 3.8073549220576 7.10852445677817 4.32192809488736 5.7279204545632 1 4.90689059560852 4 5 9.54689445988764 7.04439411935845 5.24792751344359 5.4594316186373 9.54303182025524 2.58496250072116 1 6.32192809488736 7.64385618977472 4.85798099512757 2.58496250072116 7.96000193206808 3.8073549220576 5.20945336562895 5.4594316186373 3.58496250072116 8.7515440590891 5.6724253419715 6.39231742277876 4.32192809488736 6
"s__dispersa" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__distasonis" 3.32192809488736 1 0 3.70043971814109 2.8073549220576 0 1 1 1 2.32192809488736 0 0 3 0 6.33985000288462 1.58496250072116 0 0 0 0 0 0 4 0 0 4.32192809488736 0 0 2.8073549220576 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__doebereinerae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__dolichum" 0 0 0 2.8073549220576 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 3.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__durum" 4.8073549220576 2.58496250072116 1 0 4.90689059560852 2 4.70043971814109 5.04439411935845 4.32192809488736 6.4594316186373 0 6 0 0 6.18982455888002 3.16992500144231 0 2.8073549220576 0 4.58496250072116 3.16992500144231 8.49185309632967 5.55458885167764 0 0 1 0 1.58496250072116 6.06608919045777 7.21916852046216 6.75488750216347 6.18982455888002 2.58496250072116 3.70043971814109 0 3 2.8073549220576 3.90689059560852 4.52356195605701 5.24792751344359 0 6.37503943134692
"s__echinoides" 0 3.58496250072116 3.90689059560852 0 0 0 0 2 0 0 0 2.32192809488736 0 0 2.32192809488736 0 0 0 0 0 2.8073549220576 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.4594316186373 0
"s__effusa" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__eggerthii" 0 5.78135971352466 1 3.16992500144231 0 0 0 0 0 0 0 2.32192809488736 0 0 0 2.58496250072116 3.70043971814109 0 0 0 1 0 0 0 1 5.52356195605701 4 0 0 0 2 2.8073549220576 0 0 1 0 0 0 0 0 0 1
"s__eikelboomii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__elegans" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"s__elkanii" 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__endodontalis" 0 0 0 0 0 0 0 0 3.90689059560852 2 0 0 0 0 4.64385618977472 3.4594316186373 0 0 0 0 0 1 4 0 0 3.32192809488736 0 0 1.58496250072116 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 2.32192809488736
"s__endophyticus" 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__enterica" 0 0 0 0 0 0 0 0 1 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"s__epidermidis" 1 2.32192809488736 0 0 2 2.32192809488736 2.8073549220576 2 3.8073549220576 3.8073549220576 0 4.75488750216347 1.58496250072116 0 3 3.8073549220576 0 2 0 2 1 0 0 2.32192809488736 2.58496250072116 3.16992500144231 1.58496250072116 0 0 2 0 3.58496250072116 3 1.58496250072116 2 0 2.8073549220576 0 2.58496250072116 2.8073549220576 1 4.85798099512757
"s__equi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0
"s__equorum" 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 1 0 0 1 0 1.58496250072116
"s__europaeus" 0 3.90689059560852 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0
"s__eutactus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__exhalans" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__faecis" 0 2.32192809488736 0 0 0 0 0 0 0 0 0 1 0 0 3.90689059560852 3 0 0 0 0 0 0 0 0 1.58496250072116 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"s__faecium" 1.58496250072116 0 0 0 0 0 2.8073549220576 0 0 0 0 4.39231742277876 0 0 1 0 0 0 0 0 5.35755200461808 3.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.24792751344359
"s__farmeri" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__fascians" 0 0 3.32192809488736 0 0 0 2 0 2.32192809488736 0 2.58496250072116 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.70043971814109 0 0 0 2 4.75488750216347 0 1.58496250072116 2.8073549220576 0 0 2 0 1 0 1.58496250072116
"s__firmus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__fischeri" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__flavefaciens" 0 1 0 0 0 0 0 0 0 0 0 0 5.8073549220576 0 4.58496250072116 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0
"s__flexus" 0 3.4594316186373 0 1 0 6.4757334309664 1.58496250072116 0 2 1 0 2.8073549220576 1 1 0 2.8073549220576 0 0 1 0 0 0 0 1 0 3 1.58496250072116 1.58496250072116 1 1 1 0 1 0 2.8073549220576 3 2 0 1.58496250072116 3.32192809488736 1 1
"s__formicigenerans" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
